QID,Query,Prompt Type,Task Sentiment
QGEN1,tornado,General,
QGEN2,tornado ,General,
QGEN3,piramide egizia ,General,
QGEN4,piramidi ,General,
QGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,
QGEN6,velocita tornado ,General,
QGEN7,dove si trova la piramide di Cheope?,General,
QGEN8,tornado velocita ,General,
QGEN9,vulcano attivo antico ,General,
QGEN10,tornado veloce,General,
QGEN11,vulcano attivo antico,General,
QGEN12,come si chiama Monica,General,
QGEN13,tornado mostro nero ,General,
QGEN14,tornado velocita mostro nero ,General,
QGEN15,animali a rischio di estinzione,General,
QGEN16,come si formano i vulcani?,General,
QGEN17,come si trovano i vulcani?,General,
QGEN18,come viene classificato il leopardo delle nevi?,General,
QGEN19,cosa possiamo fare per aiutare le specie in estinzione?,General,
QGEN20,in quale stato si trova il vulcano piÃ¹ piccolo ?,General,
QGEN21,in quale stato si trova il vulcano piÃ¹ piccolo del mondo?,General,
QGEN22,in quale stato si trova il vulcano piÃ¹ piccolo?,General,
QGEN23,qual Ã¨ il vulcano  attivo piÃ¹ antico,General,
QGEN24,qual Ã¨ il vulcano  attivo piÃ¹ antico ?,General,
QGEN25,quanti sono gli esemplari rimasti di fantasma delle montagne ?,General,
QGEN26, quali sono gli altri nomi del tornado,General,
QGEN27, velocitÃ  massima di un tornado,General,
QGEN28,creazione di un tornado,General,
QGEN29,effetti del tornado,General,
QGEN30,nascita di un tornado,General,
QGEN31,sinonimi di tornado,General,
QGEN32,sviluppo di un tornado,General,
QGEN33,sviluppo di un tornado e i suoi effetti,General,
QGEN34,la piramide egizia piÃ¹ alta,General,
QGEN35,mostro nero (uragano),General,
QGEN36,sviluppo del tornado,General,
QGEN37,3 animali in estinzione,General,
QGEN38,classificazione del leopardo delle nevi,General,
QGEN39,come possiamo aiutare le specie in estinzione,General,
QGEN40,quanti sono gli esemplari rimasti del fantasma delle montagne,General,
QGEN41,come viene classificato il leopardo delle nevi,General,
QGEN42,cosa possiamo fare per aiutare le specie in estinzione,General,
QGEN43,cosa possiamo fare per aiutare le specie in estinzione?quali sono i rischi e come sia possibile aiutare la specie in via di estinzioni,General,
QGEN44,fantasmi delle montagne,General,
QGEN45,trova tre animali a rischio di estinzione,General,
QGEN46,classificazione leopardo delle nevi,General,
QGEN47,come aiutare le specie in estinzione,General,
QGEN48,come aiutarele specie in estinzione,General,
QGEN49,esemplari rimasti del fantasma delle nevi,General,
QGEN50,esemplari rimasti di fantasma delle montagne,General,
QGEN51,pericoli per le specie animali,General,
QGEN52,fantasma delle montagne specie rimaste,General,
QGEN53,fantasma delle montagne wwf,General,
QGEN54,leopardo delle nevi,General,
QGEN55,tre  animali a rischio estinzione,General,
QGEN56,qual Ã¨ il vulcano attivo piÃ¹ antico del mondo?,General,
QGEN57,tipo di eruzione piÃ¹ dannoso  ,General,
QGEN58,in quale stato si trova il vulcano piÃ¹ piccolo ,General,
QGEN59,qual Ã¨ il vulcano piÃ¹ attivo piÃ¹ antico ,General,
QGEN60,quale tipologia di eruzione provoca piÃ¹ danni,General,
QGEN61,vulcani tipologia di eruzioni danni,General,
QGEN62,dove si trova il Vulcano Piu  piccolo ,General,
QGEN63,vulcano piÃ¹ antico attivo,General,
QGEN64,come si formano i vulcani,General,
QGEN65,un bambino sano quanto pasti fa al giorno,General,
QGEN66,quali sono i punti cardinali,General,
QGEN67,quali sono le cose piÃ¹ importanti della moto,General,
QGEN68,quando inizia il periodo paleolitico e neolitico,General,
QGEN69,zigurat,General,
QGEN70,trova 3 animali a rischio di estinzione,General,
QGEN71,quali sono i punti cardinali?,General,
QGEN72,quali sono gli animali in estinzione?,General,
QGEN73,dove si trova la piramide di cheope,General,
QGEN74,immagine piramide egizia,General,
QGEN75,gli animali in estinzione,General,
QGEN76,i vulcani,General,
QGEN77,i vulcani piÃ¹ grandi del mondo,General,
QGEN78,la piramide piÃ¹ alta,General,
QGEN79,punti cardinali,General,
QGEN80,qual e il vulcano piÃ¹ grande,General,
QGEN81,qual Ã¨ la piramide egizia piÃ¹ alta?,General,
QGEN82,come scaricare musica da youtube,General,
QGEN83,chi e il padre di micerino,General,
QGEN84,come venivano costruite le piramidi egizie,General,
QGEN85,qual e la piramide egizia piu alta,General,
QGEN86,quanto e alta la tomba del padre di micerino,General,
QGEN87,quanto e alta la tomba di cheope,General,
QGEN88, quali sono le regole principali della pallavolo,General,
QGEN89,la regione con piu` squadre di pallavolo,General,
QGEN90,qual e la piramide egizia piu` alta?,General,
QGEN91,quanti giocatri ci sono in ogni squadra di ginnastica,General,
QGEN92,quanti giocatri ci sono in ogni squadra di pallavolo,General,
QGEN93,regioni italÃ©8iane  con piu` squadre di pallavolo,General,
QGEN94, quanti leopardi delle nevi sono rimasti,General,
QGEN95,cosa possiamo fare per salvare gli animali in estinzione,General,
QGEN96,cosa sono fantasma delle montagne,General,
QGEN97,classificazione del Leopardo delle nevi,General,
QGEN98,classificazione del panthera uncia,General,
QGEN99,classificazione del panthera uncia in italiano,General,
QGEN100,come possiamo aiutare le specie in pericolo,General,
QGEN101,come si puo aiutare le specie in pericolo,General,
QGEN102,fantasma della montagna,General,
QGEN103,tre animali in via di estinzione,General,
QGEN104,classificazione delleopardo delle nevi,General,
QGEN105,cosa fa l IUCN per aiutare gli animali in via di estinzione,General,
QGEN106,tre animali a rischio estinzione,General,
QGEN107,wwf in via di estinzione,General,
QGEN108,FANTASMA DELLE MONTAGNE ,General,
QGEN109,quanti esemplari di leopardo delle nevi sono rimasti,General,
QGEN110,quanti specie di FANTASMA DELLE MONTAGNE sono rimasti,General,
QGEN111,qual e la regione con piÃ¹ squadre di calcio d italia,General,
QGEN112,che velocitÃ  viaggia un tornado,General,
QGEN113,cosa e il tornado mostro nero,General,
QGEN114,padre di Micerino,General,
QGEN115,quanto Ã¨ alta la tomba di Chefren,General,
QGEN116, Chi era il padre di Micerino  ?,General,
QGEN117, Il figlio di Chefren,General,
QGEN118, Il padre di Micerino,General,
QGEN119, Quanto e alta la tomba di Cheope?,General,
QGEN120, Si e scoperto il padre di Micerino?,General,
QGEN121,Come si costruivano le piramidi Egizie?,General,
QGEN122,Dove si trova la piramide di Cheope?,General,
QGEN123,Quale e la piramide egizia piu` alta ?,General,
QGEN124,Quanto era alta la tomba del padre di Micerino?,General,
QGEN125,come si costruisce una piramide egizia?,General,
QGEN126,come si costruiscono delle piramidi Egizie?,General,
QGEN127,qual e la squadra piu anticha del calcio,General,
QGEN128,quanti sono gli esemplari rimasti di fantasma delle montagne?,General,
QGEN129,tre animali a rischio di estinzione,General,
QGEN130,un fantasma delle montagne foto,General,
QGEN131,che velocita puo raggiungere un tornado,General,
QGEN132,come erano costruite le piramidi egizie,General,
QGEN133,cosa possiamo fare per salvare gli animali a rischio di estintione,General,
QGEN134,quale la piramide egizia piu alta,General,
QGEN135,quanto Ã¨ alta la tomba del padre di micerino,General,
QGEN136,vulcano attivo piu atlantico,General,
QGEN137, Micerino,General,
QGEN138,come si fa una piramide egizia,General,
QGEN139,qual Ã© la piramide egizia piu alta,General,
QGEN140,quanto Ã¨ alta la tomba del padre di  micerino,General,
QGEN141,quanto Ã¨ alta la tomba del padre micerino,General,
QGEN142,quanto Ã¨ alta la tomba di micerino,General,
QGEN143,quanto Ã©l alta la tomba di micerino,General,
QGEN144,CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,
QGEN145,QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,
QGEN146, esemplari fantasma delle montagne,General,
QGEN147,azioni per evitare estinzione degli animali,General,
QGEN148,la classificazione del leopardo delle nevi,General,
QGEN149,quali sono  gli esemplari rimasti di fantasma delle nevi,General,
QGEN150,quanti sono gli esemplari rimasti di fantasma delle nevi,General,
QGEN151,tigre bianca,General,
QGEN152,come si formano i vulcani ,General,
QGEN153,come si Ã© formato un vulcano,General,
QGEN154,in quale stato si trova il vulcano piÃ¹ piccolo,General,
QGEN155,qual Ã¨ il vulcano attivo piÃ¹ antico ,General,
QGEN156,come aiutare gli animali in via di estinzion^?,General,
QGEN157,come viene classificato il leopardo delle nevi ?,General,
QGEN158,cosa possiamo fare per aiutare la specie in estinzione?   ,General,
QGEN159,quale tipologia di eruzione provoca piÃ¹ danni?,General,
QGEN160,che velcitÃ  puÃ² raggiungere un tornado,General,
QGEN161,come si forma un tornado,General,
QGEN162,dove e quando avvenÃ¬ il mostro nero( tornado),General,
QGEN163, leopardo delle nevi,General,
QGEN164, leopardo delle nevi classificazione,General,
QGEN165,come aiutare le specie in estinzione focus ,General,
QGEN166,come viene classificata il leopardo delle nevi,General,
QGEN167,quante specie di leopardi delle nevi esistono,General,
QGEN168,come aiutare gli animali in via di estinzione?,General,
QGEN169,come viene classificato il leopardo delle nevi ? ,General,
QGEN170,quanti esemplari sono  rimasti di fantasma delle montagne?,General,
QGEN171,quali animali sono in via di estinzione,General,
QGEN172,come possiamo salvare gli animali quasi estinti,General,
QGEN173,quanti sono gli esemplari di leopardo delle nevi,General,
QGEN174, come si sviluppa un tornado,General,
QGEN175,altri nomi del tornado,General,
QGEN176,mostro nero,General,
QGEN177,quando Ã¨ avvenuto il mostro nero,General,
QGEN178,sinonimi del tornado ,General,
QGEN179,velocitÃ  massima del tornado,General,
QGEN180,velociraptor dove e quando e vissuto,General,
QGEN181,come si localizza un punto su una mappa,General,
QGEN182,quale stella utilizzano gli abitanti dell emisfero boreale per orientarsi,General,
QGEN183,quali sono le coordinate geografiche ,General,
QGEN184,chi era san giuseppe,General,
QGEN185,come e nata la festa del papa,General,
QGEN186,quali sono due ingredienti del dolce tipico della festa del papa,General,
QGEN187,qual e la regione con piÃ¹ squadre di basket,General,
QGEN188,quale squadra di basket ha piÃ¹ anni di attivitÃ ,General,
QGEN189,quali sono le regole del basket,General,
QGEN190,quanti giocatori ci sono in ogni squadra di basket,General,
QGEN191,cosa possiamo fare per aiutare le specie in via di estinzione,General,
QGEN192,quanti esemplari rimangono di leopardo delle nevi,General,
QGEN193,qual e il torneo piÃ¹ vecchio di tennis,General,
QGEN194,quali sono le regole del tennis,General,
QGEN195,quando e nato il tennis,General,
QGEN196,come si trova un punto su una mappa,General,
QGEN197,come si sviluppa un tornado,General,
QGEN198,il mostro nero e un tornado,General,
QGEN199, i vantaggi della dieta mediterranea,General,
QGEN200,in quanti pasti si deve suddividere la quantitÃ  di cibo di una ragazza sana,General,
QGEN201,quali cibi forniscono carboidrati,General,
QGEN202,qual e il vulcano attivo piÃ¹ antico,General,
QGEN203,quali sono i tipi di eruzione,General,
QGEN204,le regole del motocross,General,
QGEN205,come si sviluppa un tornado e i suoi effetti,General,
QGEN206,quali sono gli altri nomi del tornado,General,
QGEN207, il leopardo delle nevi e invertebrato o vertebrato,General,
QGEN208,come possiamo aiutare gli animali in estinzione,General,
QGEN209,quanti sono i fantasmi delle montagne,General,
QGEN210,tre animal a rischio estinzione,General,
QGEN211,il mostro nero tornado che cos Ã¨,General,
QEM1, le conseguenze negative della distruzione della foresta amazzonica,Emotionally-Charged,Negative
QEM2,Dove si trova l isola di plastica,Emotionally-Charged,Negative
QEM3,Dove si trova l isola di plastica ,Emotionally-Charged,Negative
QEM4,I ghiacciai in via di estinzione,Emotionally-Charged,Negative
QEM5,Il ghiacciaio piÅ« in via di estinzione,Emotionally-Charged,Negative
QEM6,Le regole per tenere le spiagge pulite,Emotionally-Charged,Positive
QEM7,Le regole per tenere le spiagge pulite ,Emotionally-Charged,Positive
QEM8,Le spiagge piÅ« piÃ¹ pulite,Emotionally-Charged,Positive
QEM9,Quale nome si usa per definire una personache ha a cuore l,Emotionally-Charged,Positive
QEM10,perchÃ© gli orsi polari si stanno estinguendo,Emotionally-Charged,Negative
QEM11,perchÃ© gli orsi polari si stanno estinguendo ,Emotionally-Charged,Negative
QEM12,perchÃ© gli orsi polari si stanno estinguendo sito babbanas,Emotionally-Charged,Negative
QEM13,BiodiversitÃ¡,Emotionally-Charged,Positive
QEM14,CosÃ© il buco nel azono,Emotionally-Charged,Negative
QEM15,Dove si trova lisola di plastica,Emotionally-Charged,Negative
QEM16,Perche gli orsi polari diminuen,Emotionally-Charged,Negative
QEM17,Quanto psa lisola di plastica,Emotionally-Charged,Negative
QEM18,Temperature estivepiu elevate del 2019,Emotionally-Charged,Negative
QEM19,Cose il buco nello zono?,Emotionally-Charged,Negative
QEM20,Isola di plastica posto,Emotionally-Charged,Negative
QEM21,Isola diplastica cosÃ¨,Emotionally-Charged,Negative
QEM22,Lisola di plastica cosa Ã¨,Emotionally-Charged,Negative
QEM23,Nomi spiagge bandiera pulizia,Emotionally-Charged,Positive
QEM24,PerchÃ¨ gli orsi polari diminuiscono?,Emotionally-Charged,Negative
QEM25,Peso bottiglia di plastica   ,Emotionally-Charged,Negative
QEM26,Quale ghiacciaio si sta sciogliendosi in modo preoccupante,Emotionally-Charged,Negative
QEM27,Spiagge con la bandiera della pulizia,Emotionally-Charged,Positive
QEM28, 3 Spiagge con bandiera blu,Emotionally-Charged,Positive
QEM29,Spiagge con bandiera blu,Emotionally-Charged,Positive
QEM30,Temperature estive superano quelle misurate nel 2019,Emotionally-Charged,Negative
QEM31,spiagge bandiera blu 2019,Emotionally-Charged,Positive
QEM32,spiagge bandiera blu 2019 molise,Emotionally-Charged,Positive
QEM33,Regole per tenere pulite le spiagge,Emotionally-Charged,Positive
QEM34, Spiagge con bandiera b,Emotionally-Charged,Positive
QEM35, Spiagge con bandiera blu,Emotionally-Charged,Positive
QEM36, Spiagge con bandiera della loro pulizia,Emotionally-Charged,Positive
QEM37, Spiagge con bandiera di certificazione della loro pulizia,Emotionally-Charged,Positive
QEM38,Causa della riduzione del lago aral,Emotionally-Charged,Negative
QEM39,Isola di plastica,Emotionally-Charged,Negative
QEM40,Spiagge con certificazione di pulizia ,Emotionally-Charged,Positive
QEM41,Anno con temperature piÃ¹ alte,Emotionally-Charged,Negative
QEM42,Anno con temperature piÃ¹ alte ,Emotionally-Charged,Negative
QEM43,PerchÃ¨ gli orsi polari stanno diminuendo drasticamente di numero,Emotionally-Charged,Negative
QEM44,Quale nome si usa per definire una persona che ha a cuore ambiente,Emotionally-Charged,Positive
QEM45,Conseguenze negative della distruzione della foresta amazzonica,Emotionally-Charged,Negative
QEM46,Cosa Ã¨ Ä¾isola di plastica,Emotionally-Charged,Negative
QEM47,Di cosa si occupa il WWF ?,Emotionally-Charged,Positive
QEM48,Dove si trova Ä¾isola di plastica Cosa Ã¨,Emotionally-Charged,Negative
QEM49, persona che rispetta la natura,Emotionally-Charged,Positive
QEM50,Qual Ã¨ la causa della riduzione del lago Aral,Emotionally-Charged,Negative
QEM51,Quale nome si usa per definire una persona che ha a cuore l,Emotionally-Charged,Positive
QEM52,Cosa Ã¨  Ocean  Cleanup,Emotionally-Charged,Positive
QEM53,Dove si trova Äº isola di plastica,Emotionally-Charged,Negative
QEM54,QuaÄº Ã¨ la causa della riduzione del lago aral,Emotionally-Charged,Negative
QEM55,cos e la biodiversitÃ ,Emotionally-Charged,Positive
QEM56,Cosa Ã¨ ocean cleanup? Ita,Emotionally-Charged,Positive
QEM57,Cosa Ã¨ ocean cleanup? Italino,Emotionally-Charged,Positive
QEM58,Dove si trova Ä¾isola di plastica?,Emotionally-Charged,Negative
QEM59,Quali sono le regole per tenere le spiagge pulite ?,Emotionally-Charged,Positive
QEM60,di cosa si occupa il wwf,Emotionally-Charged,Positive
QEM61,Di cosa si occupa il WWF?,Emotionally-Charged,Positive
QEM62,Cosa Ã¨ Ocean Cleanup ?,Emotionally-Charged,Positive
QEM63,Quali sono le regole per tenere le spiagge pulite?,Emotionally-Charged,Positive
QEM64,Di cosa si occupa la WWF,Emotionally-Charged,Positive
QEM65,Cosa Ã¨ ocean cleanup?,Emotionally-Charged,Positive
QEM66,Qual Ã© la causa della riduzione del lago Aral,Emotionally-Charged,Negative
QEM67,A cosa serve frigorifero solidale,Emotionally-Charged,Positive
QEM68,Cosa Ã¨  Oceano cleanup,Emotionally-Charged,Positive
QEM69,perchÃ¨ gli orsi polari stanno diminuendo drasticamente di numero ?,Emotionally-Charged,Negative
QEM70,Quale ghiacciaio vicino a noi sta sciogliendosi in modo preoccupante?,Emotionally-Charged,Negative
QEM71,CosÃ¨ ocean Cleanup?,Emotionally-Charged,Positive
QEM72,Qual Ã¨ la causa della riduzione del lago Aral?,Emotionally-Charged,Negative
QEM73,Di cosa si occupa il wwf?,Emotionally-Charged,Positive
QEM74,Dove si trova Ä¾ isola di plastica?cosa Ã¨?,Emotionally-Charged,Negative
QEM75,Di che cosa si occupa il wwf,Emotionally-Charged,Positive
QEM76,Di cosa si occupa il wwf,Emotionally-Charged,Positive
QEM77,PerchÃ© gli orsi polari stanno diminuendo drasticamente di numero?,Emotionally-Charged,Negative
QEM78,Quale ghiacciaio si sta scioglendo in modo preoccupante ,Emotionally-Charged,Negative
QEM79,Cosa e la isola di plastica,Emotionally-Charged,Negative
QEM80,ocean cleanup,Emotionally-Charged,Positive
QEM81,Dove si trova Ä¾isola di plastica,Emotionally-Charged,Negative
QEM82, CosÃ¨ Ä¾isola di plastica,Emotionally-Charged,Negative
